date,bond_mkt_ret,duration_rf,credit_rf,liquidity_rf,cum_lrf_12m,cum_crf_12m,bond_vol_6m
2007-02-28,0.0129814635299706,0.0108044999020461,-0.0043220644577374,0.0052711619297719,-0.004073777943533119,0.07734613245645251,0.026668173907682148
2007-03-31,-0.0062742170744319,-0.0129893674973717,0.003211626415675,-0.0049106509171433,-0.002042754394563218,0.05950470705406271,0.029695864253960445
2007-04-30,0.0035263156001269,0.0036327960843256,0.0099608751028802,0.0003827475628991,0.006174451154851282,0.0543897530315372,0.029637895273583334
2007-05-31,-0.0084843674392446,-0.0030417137419879,0.0200863958018484,-0.0010545878344496,0.0051059012135663,0.0726861352239862,0.027898055796641955
2007-06-30,-0.0132546308987092,-0.0148259054152981,-0.0086103401239216,-0.0029219281737577,0.006378608641178301,0.0644692623153871,0.03259691471187903
2007-07-31,-0.0105329675004835,-0.0195472228436228,-0.0384325878437232,-0.001975465222694,0.0049167374631751,0.031241262580330706,0.034571098643047124
2007-08-31,0.0071467329893784,-0.0016178544310572,-0.0082254324979004,0.002361855682601,-0.0014078766414810989,0.024902474181348812,0.02822783137261176
2007-09-30,0.0114557212179079,0.0170964164371358,0.0179663385086949,-0.002153492116422,-0.006803236166494199,0.04162196309390681,0.035873443345394156
2007-10-31,0.0078002247507393,0.0088044358673582,-0.0060851301410764,0.0049396384081859,-0.0009495706133146996,0.026790538480226306,0.03782140858074594
2007-11-30,-0.0063169695777996,-0.0252971691749969,-0.0337660328077668,-0.0103381169748058,-0.012810241065691199,-0.012822716720237694,0.03690208447538715
2007-12-31,-0.0031611971583508,-0.0175037160389479,-0.0042128089619914,-0.0045271858067071,-0.012469379713246699,-0.034020023977875395,0.030874645249669905
2008-01-31,0.0102619359141994,0.0186008172890591,-0.0298584079383555,0.0039270019576894,-0.010999021504832198,-0.08228756894337419,0.02569857370320656
2008-02-29,-0.0092341485157136,-0.0297728883224154,-0.0142264163075421,-0.0047850866513182,-0.021055270085922298,-0.0921919207931789,0.03148680140198071
2008-03-31,-0.0073461115895326,-0.0070519797862056,-0.0020785022700775,-0.0066690377018576,-0.0228136568706366,-0.0974820494789314,0.028759398428700945
2008-04-30,0.0174502861489403,0.0514812923537892,0.0479830772305236,0.0029047665949578,-0.0202916378385779,-0.059459847351287995,0.03789974465448721
2008-05-31,-0.0065217628454163,-0.0023856410590566,0.0215630348819205,0.005131372708463,-0.014105677295665298,-0.05798320827121589,0.03798624888009222
2008-06-30,-0.0182294509440404,-0.0424279642225157,-0.0320085520395346,-0.0041336867922891,-0.015317435914196698,-0.0813814201868289,0.04629436955676383
2008-07-31,-0.0090301795410196,-0.0313311677562819,-0.0149009664205385,-0.0118383056850845,-0.0251802763765872,-0.057849798763644204,0.041558000136806855
2008-08-31,0.0078211611573387,0.0047081426212803,-0.0097869082266522,-0.0021349530438098,-0.029677085102997998,-0.059411274492396,0.04474290267872883
2008-09-30,-0.0825766427610141,-0.1108601372719276,0.0069727706719531,-0.0394223601550831,-0.0669459531416591,-0.07040484232913781,0.12255461754170649
