date,regime,vix_close,h_decimal,A,k_decay,sigma_annual,informed_share,informed_imputed,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility,stable_at_h,regime_order
1995-06-19,calm,11.21,0.009080740001769371,2.40718947255804,24.8499,0.0452680261265782,0.7154442150091062,True,106.4581834019717,66.32837734728214,0.6230463006947542,106.4581834019717,0.5653604167265613,True,0
1995-06-20,calm,11.16,0.009042663339488081,2.4162371134020613,24.8499,0.0452680261265782,0.7154442150091062,True,106.90238736513658,66.77750121390693,0.6246586522508727,106.90238736513658,0.5630112143942625,True,0
1995-06-21,calm,11.32,0.00916450865878821,2.3875212224108657,24.8499,0.0452680261265782,0.7154442150091062,True,105.49311172252091,65.35412489105639,0.6195108270477193,105.49311172252091,0.5705324447192556,True,0
1995-06-22,calm,11.44,0.009255892648263306,2.3664282709297435,24.8499,0.0452680261265782,0.7154442150091062,True,104.45900646833881,64.31251161757739,0.61567225069358,104.45900646833881,0.5761805034047874,True,0
1995-06-23,calm,11.12,0.00901220200966305,2.423524342955623,24.8499,0.0452680261265782,0.7154442150091062,True,107.2602790402826,67.13967148966412,0.6259509306744316,107.2602790402826,0.5611326342856849,True,0
1995-06-26,calm,11.8,0.009530044616688596,2.3053278688524586,24.8499,0.0452680261265782,0.7154442150091062,True,101.4687910175737,61.31460196767893,0.6042705481438098,101.4687910175737,0.5931601463711871,True,0
1995-06-27,calm,12.37,0.009964118566695301,2.214784919775569,24.8499,0.0452680261265782,0.7154442150091062,True,97.05316362543853,56.92794310308982,0.5865645278993098,97.05316362543853,0.6201471511467122,True,0
1995-06-28,calm,11.74,0.009484352621951046,2.3152912121835767,24.8499,0.0452680261265782,0.7154442150091062,True,101.95583826916675,61.80144862083429,0.6061589965812104,101.95583826916675,0.5903265958462831,True,0
1995-06-29,calm,11.59,0.009370122635107175,2.340580463955061,24.8499,0.0452680261265782,0.7154442150091062,True,103.19305229310802,63.04071850587998,0.6109008029612308,103.19305229310802,0.583248984254642,True,0
1995-06-30,calm,11.38,0.00921020065352576,2.376927952672723,24.8499,0.0452680261265782,0.7154442150091062,True,104.97365075555801,64.8305882495351,0.6175891548299088,104.97365075555801,0.5733557183053833,True,0
1995-07-03,calm,11.57,0.009354891970194661,2.3439941660589643,24.8499,0.0436002276483843,0.7154442150091062,True,103.36016494527274,63.20838750361821,0.6115352808994244,103.36016494527274,0.5823059876496851,True,0
1995-07-05,calm,12.1,0.009758504590376334,2.256770310932798,24.8499,0.0436002276483843,0.7154442150091062,True,99.09832181838904,58.953484399749655,0.5948989177414106,99.09832181838904,0.6073487605813608,True,0
1995-07-06,calm,11.52,0.00931681530791337,2.3525721455457966,24.8499,0.0436002276483843,0.7154442150091062,True,103.78019645885487,63.63010664833001,0.6131237829517606,103.78019645885487,0.579949209827845,True,0
1995-07-07,calm,11.77,0.00950719861931982,2.310298798644624,24.8499,0.0436002276483843,0.7154442150091062,True,101.71176204379069,61.55740089193673,0.6052141822637385,101.71176204379069,0.5917431939304971,True,0
