run_id,universe_size,bond_id,rating_bucket,epsilon,n_dealers,br_slope,sinkhorn_wasserstein_tau_shift,dlambda_informed_ddelta,h_tail_mean,h_tail_std,tau_tail_mean,q_tail_mean,hit_cap,stability_label,adversarial_regime,br_slope_z,sinkhorn_wasserstein_tau_shift_z,dlambda_informed_ddelta_z,h_tail_mean_z,h_tail_std_z,tau_tail_mean_z,q_tail_mean_z,stability_code,data_is_synthetic,primary_source,split,episode_id
962,20,2,HY,0.95,1,-0.0006214611203003,0.0218359788359788,-0.2875064789310858,4.6517104034733325,0.4208684081916801,0.8177777777777778,0.0304646250998436,False,stable,crisis,0.02281,-0.32406,-0.38143,1.01086,1.01113,0.98711,1.25779,0,True,simulator_v1,held_out,2_e0.95_n1_u20
963,20,3,IG,0.95,1,0.0178856830389117,0.0110063085063085,-0.5095399451698227,5.589845642655763,0.2220164144461799,0.9491772486772488,-0.0125179580192393,True,collapsed_saturated,crisis,0.16202,-0.7797,-1.7129,1.50402,-0.24915,1.43501,-0.46372,2,True,simulator_v1,held_out,3_e0.95_n1_u20
964,20,4,IG,0.95,1,0.0477580356311618,0.0155093936564524,-0.6468377356488534,5.779252314133158,0.1493247556099697,0.980277777777778,0.0230050047190135,True,collapsed_saturated,crisis,0.38672,-0.59024,-2.53624,1.60358,-0.70985,1.54103,0.95902,2,True,simulator_v1,held_out,4_e0.95_n1_u20
965,20,5,IG,0.95,1,0.0424625518986838,0.0160290542790542,-0.6443484616493034,5.664326334300549,0.2032596429169189,0.9664337421837422,-0.0084314852511309,True,collapsed_saturated,crisis,0.34688,-0.56838,-2.52131,1.54317,-0.36803,1.49384,-0.30005,2,True,simulator_v1,held_out,5_e0.95_n1_u20
966,20,6,IG,0.95,1,-0.0231774342740173,0.0173518089237903,-0.8506393881576105,5.822809712459211,0.0470184209455029,0.9872420634920634,-0.0055654068826068,True,collapsed_saturated,crisis,-0.14685,-0.51272,-3.75838,1.62648,-1.35824,1.56477,-0.18526,2,True,simulator_v1,held_out,6_e0.95_n1_u20
967,20,7,IG,0.95,1,-0.0174035356547955,0.0147015816427581,-0.7409450845969499,5.739756572058617,0.1076690065732602,0.9761718374218374,0.0050128475619203,True,collapsed_saturated,crisis,-0.10342,-0.62423,-3.10057,1.58282,-0.97385,1.52703,0.23841,2,True,simulator_v1,held_out,7_e0.95_n1_u20
968,20,8,IG,0.95,1,-0.0413361056658405,0.0183283247253835,-0.892123590490329,5.781839404170737,0.0793861388904621,0.9802990250490248,-0.030581091787619,True,collapsed_saturated,crisis,-0.28344,-0.47164,-4.00715,1.60494,-1.1531,1.5411,-1.18717,2,True,simulator_v1,held_out,8_e0.95_n1_u20
969,20,9,HY,0.95,1,-0.0797019986230945,0.0086666666666666,-0.2262406758429287,3.902427303426428,0.4065966371821984,0.7179444444444444,0.0177857082695985,False,stable,crisis,-0.57202,-0.87814,-0.01403,0.61698,0.92067,0.6468,0.74998,0,True,simulator_v1,held_out,9_e0.95_n1_u20
970,20,10,HY,0.95,1,-0.036055593631327,0.0285727513227513,-0.3881821460046012,5.230382613435204,0.318300981002354,0.8880462962962963,-0.0442507854376159,True,collapsed_saturated,crisis,-0.24372,-0.04061,-0.98515,1.31506,0.36108,1.22663,-1.73466,2,True,simulator_v1,held_out,10_e0.95_n1_u20
971,20,11,IG,0.95,1,-0.0189288133781815,0.0230555555555555,-0.3437592909971153,5.014624949870745,0.3416079113896767,0.8708333333333333,0.0002518434371315,False,stable,crisis,-0.11489,-0.27274,-0.71876,1.20164,0.50879,1.16796,0.04773,0,True,simulator_v1,held_out,11_e0.95_n1_u20
